Check Number,Opened At,Order Type,Check Total
000001,2025-07-01 11:05:04,Dine-In,79.51
000002,2025-07-01 11:24:38,Dine-In,43.98
000003,2025-07-01 11:41:48,Dine-In,127.87
000004,2025-07-01 11:44:36,Dine-In,146.54
000005,2025-07-01 12:10:01,Dine-In,183.96
000006,2025-07-01 12:14:02,Dine-In,159.19
000007,2025-07-01 12:35:06,Dine-In,205.19
000008,2025-07-01 13:05:11,Dine-In,124.5
000009,2025-07-01 13:06:40,Dine-In,222.09
000010,2025-07-01 13:17:54,Dine-In,34.02
000011,2025-07-01 13:50:06,Dine-In,44.68
000012,2025-07-01 14:28:12,Dine-In,129.55
000013,2025-07-01 14:40:24,Dine-In,72.62
000014,2025-07-01 15:14:37,Dine-In,49.53
000015,2025-07-01 15:40:40,Dine-In,59.81
000016,2025-07-01 15:55:54,Dine-In,91.53
000017,2025-07-01 16:06:09,Dine-In,37.77
000018,2025-07-01 16:22:24,Dine-In,130.73
000019,2025-07-01 16:44:15,Dine-In,45.06
000020,2025-07-01 16:47:48,Dine-In,50.79
000021,2025-07-01 17:00:45,Dine-In,117.84
000022,2025-07-01 17:10:35,Dine-In,131.63
000023,2025-07-01 17:18:35,Dine-In,213.33
000024,2025-07-01 17:18:43,Dine-In,52.37
000025,2025-07-01 17:27:18,Dine-In,115.51
000026,2025-07-01 17:32:57,Dine-In,96.81
000027,2025-07-01 17:56:11,Dine-In,29.01
000028,2025-07-01 18:07:57,Dine-In,75.09
000029,2025-07-01 18:08:37,Dine-In,212.36
000030,2025-07-01 18:15:15,Dine-In,125.55
000031,2025-07-01 18:22:18,Dine-In,163.58
000032,2025-07-01 18:26:01,Dine-In,101.16
000033,2025-07-01 18:43:12,Dine-In,39.04
000034,2025-07-01 18:44:52,Dine-In,199.87
000035,2025-07-01 18:45:27,Dine-In,50.26
000036,2025-07-01 18:48:50,Dine-In,100.92
000037,2025-07-01 18:48:54,Dine-In,99.75
000038,2025-07-01 18:51:32,Dine-In,149.09
000039,2025-07-01 18:54:28,Dine-In,111.16
000040,2025-07-01 18:55:58,Dine-In,29.4
000041,2025-07-01 18:58:34,Dine-In,113.1
000042,2025-07-01 19:09:31,Dine-In,96.0
000043,2025-07-01 19:17:02,Dine-In,166.87
000044,2025-07-01 19:37:23,Dine-In,47.18
000045,2025-07-01 19:44:03,Dine-In,261.55
000046,2025-07-01 20:05:01,Dine-In,107.06
000047,2025-07-01 20:14:25,Dine-In,137.38
000048,2025-07-01 20:27:39,Dine-In,125.18
000049,2025-07-01 20:41:48,Dine-In,46.53
000050,2025-07-01 20:42:14,Dine-In,128.61
000051,2025-07-01 20:42:55,Dine-In,120.04
000052,2025-07-01 20:53:31,Dine-In,35.68
000053,2025-07-01 20:53:43,Dine-In,83.35
000054,2025-07-01 21:10:03,Dine-In,141.8
000055,2025-07-01 21:17:19,Dine-In,163.54
000056,2025-07-01 21:34:56,Dine-In,143.02
000057,2025-07-02 11:06:16,Dine-In,114.72
000058,2025-07-02 11:26:29,Dine-In,81.38
000059,2025-07-02 12:04:33,Dine-In,52.0
000060,2025-07-02 12:20:35,Dine-In,165.58
000061,2025-07-02 12:23:55,Dine-In,37.55
000062,2025-07-02 12:24:33,Dine-In,65.77
000063,2025-07-02 12:32:31,Dine-In,76.15
000064,2025-07-02 12:43:20,Dine-In,130.42
000065,2025-07-02 12:54:27,Dine-In,36.62
000066,2025-07-02 13:07:37,Dine-In,95.07
000067,2025-07-02 13:17:50,Dine-In,147.19
000068,2025-07-02 13:20:18,Dine-In,241.46
000069,2025-07-02 13:25:12,Dine-In,36.01
000070,2025-07-02 13:26:48,Dine-In,31.56
000071,2025-07-02 13:30:11,Dine-In,169.25
000072,2025-07-02 13:37:02,Dine-In,39.57
000073,2025-07-02 13:54:27,Dine-In,64.14
000074,2025-07-02 14:27:42,Dine-In,25.38
000075,2025-07-02 14:39:57,Dine-In,75.92
000076,2025-07-02 15:13:24,Dine-In,85.97
000077,2025-07-02 15:45:28,Dine-In,138.14
000078,2025-07-02 15:47:35,Dine-In,545.61
000079,2025-07-02 16:19:13,Dine-In,110.92
000080,2025-07-02 16:30:14,Dine-In,53.99
000081,2025-07-02 16:47:49,Dine-In,97.67
000082,2025-07-02 16:57:33,Dine-In,86.53
000083,2025-07-02 17:00:41,Dine-In,89.38
000084,2025-07-02 17:03:43,Dine-In,84.52
000085,2025-07-02 17:07:03,Dine-In,166.39
000086,2025-07-02 17:13:26,Dine-In,175.56
000087,2025-07-02 17:17:30,Dine-In,118.05
000088,2025-07-02 17:27:40,Dine-In,134.8
000089,2025-07-02 17:28:24,Dine-In,39.28
000090,2025-07-02 17:44:43,Dine-In,243.54
000091,2025-07-02 17:59:03,Dine-In,109.91
000092,2025-07-02 18:02:33,Dine-In,70.53
000093,2025-07-02 18:04:45,Dine-In,69.08
000094,2025-07-02 18:14:50,Dine-In,211.59
000095,2025-07-02 18:17:52,Dine-In,77.6
000096,2025-07-02 18:19:10,Dine-In,482.28
000097,2025-07-02 18:35:48,Dine-In,83.27
000098,2025-07-02 18:44:30,Dine-In,201.64
000099,2025-07-02 18:47:00,Dine-In,63.24
000100,2025-07-02 18:47:09,Dine-In,46.72
000101,2025-07-02 18:48:38,Dine-In,252.08
000102,2025-07-02 18:50:35,Dine-In,162.91
000103,2025-07-02 18:51:52,Dine-In,71.74
000104,2025-07-02 18:57:05,Dine-In,143.89
000105,2025-07-02 18:58:19,Dine-In,170.8
000106,2025-07-02 19:02:55,Dine-In,101.98
000107,2025-07-02 19:06:45,Dine-In,81.51
000108,2025-07-02 19:16:05,Dine-In,65.17
000109,2025-07-02 19:32:54,Dine-In,126.99
000110,2025-07-02 19:35:09,Dine-In,186.29
000111,2025-07-02 19:42:40,Dine-In,49.15
000112,2025-07-02 19:50:42,Dine-In,64.9
000113,2025-07-02 19:55:43,Dine-In,92.24
000114,2025-07-02 20:00:11,Dine-In,40.8
000115,2025-07-02 20:10:57,Dine-In,208.58
000116,2025-07-02 20:22:34,Dine-In,50.13
000117,2025-07-02 20:31:46,Dine-In,126.26
000118,2025-07-02 20:45:04,Dine-In,28.24
000119,2025-07-02 20:45:18,Dine-In,39.59
000120,2025-07-02 20:50:56,Dine-In,36.95
000121,2025-07-02 20:58:44,Dine-In,287.87
000122,2025-07-02 20:59:45,Dine-In,145.52
000123,2025-07-02 21:47:02,Dine-In,229.87
000124,2025-07-02 21:49:57,Dine-In,55.81
000125,2025-07-03 11:36:46,Dine-In,51.56
000126,2025-07-03 12:47:02,Dine-In,66.45
000127,2025-07-03 13:20:31,Dine-In,62.5
000128,2025-07-03 15:00:05,Dine-In,246.4
000129,2025-07-03 16:04:25,Dine-In,52.01
000130,2025-07-03 16:07:33,Dine-In,97.79
000131,2025-07-03 16:12:13,Dine-In,148.32
000132,2025-07-03 17:06:16,Dine-In,168.03
000133,2025-07-03 17:11:16,Dine-In,32.58
000134,2025-07-03 17:14:04,Dine-In,120.5
000135,2025-07-03 17:16:25,Dine-In,37.78
000136,2025-07-03 17:18:19,Dine-In,67.08
000137,2025-07-03 17:20:22,Dine-In,81.02
000138,2025-07-03 17:24:21,Dine-In,59.26
000139,2025-07-03 17:26:33,Dine-In,45.47
000140,2025-07-03 17:34:11,Dine-In,505.47
000141,2025-07-03 17:36:45,Dine-In,147.33
000142,2025-07-03 17:45:05,Dine-In,39.32
000143,2025-07-03 17:46:56,Dine-In,195.24
000144,2025-07-03 17:49:40,Dine-In,241.33
000145,2025-07-03 17:53:35,Dine-In,225.83
000146,2025-07-03 17:54:56,Dine-In,223.17
000147,2025-07-03 17:55:00,Dine-In,127.92
000148,2025-07-03 17:57:02,Dine-In,162.76
000149,2025-07-03 18:01:23,Dine-In,136.32
000150,2025-07-03 18:08:03,Dine-In,38.22
000151,2025-07-03 18:12:06,Dine-In,77.83
000152,2025-07-03 18:25:43,Dine-In,513.35
000153,2025-07-03 18:36:21,Dine-In,61.18
000154,2025-07-03 18:39:58,Dine-In,150.56
000155,2025-07-03 18:40:19,Dine-In,174.63
000156,2025-07-03 18:41:35,Dine-In,59.81
000157,2025-07-03 18:43:15,Dine-In,87.95
000158,2025-07-03 18:51:57,Dine-In,49.92
000159,2025-07-03 18:53:43,Dine-In,171.83
000160,2025-07-03 19:01:51,Dine-In,55.97
000161,2025-07-03 19:02:01,Dine-In,177.3
000162,2025-07-03 19:15:12,Dine-In,197.73
000163,2025-07-03 19:40:23,Dine-In,153.37
000164,2025-07-03 19:53:08,Dine-In,109.03
000165,2025-07-03 19:57:53,Dine-In,65.22
000166,2025-07-03 19:59:22,Dine-In,50.27
000167,2025-07-03 20:30:15,Dine-In,52.08
000168,2025-07-03 20:39:47,Dine-In,148.14
000169,2025-07-03 20:41:47,Dine-In,105.48
000170,2025-07-03 20:47:56,Dine-In,98.04
000171,2025-07-03 20:51:11,Dine-In,49.82
000172,2025-07-03 21:18:58,Dine-In,48.91
000173,2025-07-03 21:40:22,Dine-In,102.12
000174,2025-07-04 11:02:48,Dine-In,63.29
000175,2025-07-04 11:54:25,Dine-In,78.12
000176,2025-07-04 12:02:44,Dine-In,58.38
000177,2025-07-04 12:05:52,Dine-In,68.44
000178,2025-07-04 12:07:40,Dine-In,74.86
000179,2025-07-04 12:15:39,Dine-In,56.75
000180,2025-07-04 12:19:32,Dine-In,88.81
000181,2025-07-04 12:26:54,Dine-In,64.9
000182,2025-07-04 12:31:12,Dine-In,62.71
000183,2025-07-04 12:47:31,Dine-In,44.28
000184,2025-07-04 12:57:44,Dine-In,33.96
000185,2025-07-04 13:17:29,Dine-In,140.63
000186,2025-07-04 13:19:25,Dine-In,249.97
000187,2025-07-04 13:38:36,Dine-In,163.45
000188,2025-07-04 14:51:19,Dine-In,126.58
000189,2025-07-04 14:51:58,Dine-In,123.54
000190,2025-07-04 14:55:58,Dine-In,81.15
000191,2025-07-04 15:04:30,Dine-In,204.92
000192,2025-07-04 15:42:17,Dine-In,56.71
000193,2025-07-04 15:42:53,Dine-In,98.47
000194,2025-07-04 17:01:13,Dine-In,291.33
000195,2025-07-04 17:04:44,Dine-In,212.84
000196,2025-07-04 17:09:13,Dine-In,142.16
000197,2025-07-04 17:12:43,Dine-In,36.61
000198,2025-07-04 17:12:50,Dine-In,170.77
000199,2025-07-04 17:17:27,Dine-In,125.57
000200,2025-07-04 17:19:10,Dine-In,26.61
000201,2025-07-04 17:19:56,Dine-In,110.67
000202,2025-07-04 17:20:51,Dine-In,237.23
000203,2025-07-04 17:35:43,Dine-In,50.79
000204,2025-07-04 17:40:06,Dine-In,30.66
000205,2025-07-04 17:41:48,Dine-In,80.92
000206,2025-07-04 17:49:55,Dine-In,165.68
000207,2025-07-04 17:57:39,Dine-In,172.19
000208,2025-07-04 17:57:47,Dine-In,113.79
000209,2025-07-04 18:00:07,Dine-In,224.94
000210,2025-07-04 18:00:23,Dine-In,154.35
000211,2025-07-04 18:02:13,Dine-In,103.14
000212,2025-07-04 18:04:08,Dine-In,174.66
000213,2025-07-04 18:04:33,Dine-In,44.43
000214,2025-07-04 18:06:59,Dine-In,132.65
000215,2025-07-04 18:12:35,Dine-In,159.01
000216,2025-07-04 18:13:59,Dine-In,36.05
000217,2025-07-04 18:14:55,Dine-In,48.63
000218,2025-07-04 18:20:31,Dine-In,75.6
000219,2025-07-04 18:24:54,Dine-In,104.9
000220,2025-07-04 18:33:08,Dine-In,231.84
000221,2025-07-04 18:37:01,Dine-In,100.74
000222,2025-07-04 18:38:39,Dine-In,36.59
000223,2025-07-04 18:38:55,Dine-In,75.32
000224,2025-07-04 18:48:57,Dine-In,49.65
000225,2025-07-04 18:53:11,Dine-In,119.14
000226,2025-07-04 18:58:50,Dine-In,53.08
000227,2025-07-04 19:00:35,Dine-In,164.58
000228,2025-07-04 19:07:22,Dine-In,594.42
000229,2025-07-04 19:12:11,Dine-In,113.1
000230,2025-07-04 19:20:35,Dine-In,79.3
000231,2025-07-04 19:24:54,Dine-In,211.4
000232,2025-07-04 19:27:38,Dine-In,52.3
000233,2025-07-04 19:35:45,Dine-In,148.75
000234,2025-07-04 19:36:02,Dine-In,54.21
000235,2025-07-04 19:36:16,Dine-In,81.92
000236,2025-07-04 19:37:12,Dine-In,164.53
000237,2025-07-04 19:42:11,Dine-In,80.17
000238,2025-07-04 19:59:28,Dine-In,35.03
000239,2025-07-04 20:01:06,Dine-In,206.64
000240,2025-07-04 20:02:43,Dine-In,75.6
000241,2025-07-04 20:05:39,Dine-In,79.19
000242,2025-07-04 20:06:15,Dine-In,256.01
000243,2025-07-04 20:09:42,Dine-In,66.71
000244,2025-07-04 20:10:41,Dine-In,175.23
