Order ID,Time Customer Ordered,Order Status,Food Sales
UE-000000,07/01/2025 12:36 PM,Completed,98.78
UE-000001,07/01/2025 03:14 PM,Completed,93.94
UE-000002,07/01/2025 04:47 PM,Completed,105.29
UE-000003,07/01/2025 05:30 PM,Completed,101.2
UE-000004,07/01/2025 05:40 PM,Completed,90.24
UE-000005,07/01/2025 05:42 PM,Completed,120.67
UE-000006,07/01/2025 06:04 PM,Completed,102.67
UE-000007,07/01/2025 06:36 PM,Completed,39.38
UE-000008,07/01/2025 07:12 PM,Completed,25.0
UE-000009,07/01/2025 08:03 PM,Completed,41.77
UE-000010,07/01/2025 08:10 PM,Completed,71.76
UE-000011,07/01/2025 08:42 PM,Completed,37.15
UE-000012,07/02/2025 12:49 PM,Completed,112.14
UE-000013,07/02/2025 01:07 PM,Completed,25.0
UE-000014,07/02/2025 02:08 PM,Completed,44.36
UE-000015,07/02/2025 05:56 PM,Completed,80.39
UE-000016,07/02/2025 06:07 PM,Completed,49.45
UE-000017,07/02/2025 06:40 PM,Completed,41.46
UE-000018,07/02/2025 07:34 PM,Completed,99.63
UE-000019,07/03/2025 01:14 PM,Completed,25.0
UE-000020,07/03/2025 02:44 PM,Completed,62.08
UE-000021,07/03/2025 03:48 PM,Completed,76.65
UE-000022,07/03/2025 04:09 PM,Completed,44.5
UE-000023,07/03/2025 04:29 PM,Completed,54.67
UE-000024,07/03/2025 06:22 PM,Completed,152.15
UE-000025,07/03/2025 06:43 PM,Completed,156.73
UE-000026,07/03/2025 06:45 PM,Completed,101.82
UE-000027,07/03/2025 06:53 PM,Completed,112.71
UE-000028,07/03/2025 07:10 PM,Completed,85.33
UE-000029,07/03/2025 07:44 PM,Completed,125.3
UE-000030,07/03/2025 07:57 PM,Completed,63.54
UE-000031,07/03/2025 08:17 PM,Completed,45.23
UE-000032,07/03/2025 08:28 PM,Completed,50.02
UE-000033,07/03/2025 09:39 PM,Completed,73.79
UE-000034,07/04/2025 12:05 PM,Completed,70.64
UE-000035,07/04/2025 01:40 PM,Completed,57.93
UE-000036,07/04/2025 02:08 PM,Completed,41.15
UE-000037,07/04/2025 05:02 PM,Completed,46.47
UE-000038,07/04/2025 05:08 PM,Completed,91.87
UE-000039,07/04/2025 05:37 PM,Completed,139.51
UE-000040,07/04/2025 06:06 PM,Completed,37.48
UE-000041,07/04/2025 06:20 PM,Completed,65.72
UE-000042,07/04/2025 06:36 PM,Completed,74.36
UE-000043,07/04/2025 06:55 PM,Completed,42.81
UE-000044,07/04/2025 06:59 PM,Completed,52.78
UE-000045,07/04/2025 07:31 PM,Completed,54.11
UE-000046,07/04/2025 07:49 PM,Completed,268.35
UE-000047,07/04/2025 08:05 PM,Completed,57.86
UE-000048,07/04/2025 08:29 PM,Completed,32.17
UE-000049,07/04/2025 09:10 PM,Completed,117.03
UE-000050,07/04/2025 09:15 PM,Completed,27.93
UE-000051,07/05/2025 12:10 PM,Completed,25.3
UE-000052,07/05/2025 04:44 PM,Completed,129.87
UE-000053,07/05/2025 05:16 PM,Completed,85.4
UE-000054,07/05/2025 05:52 PM,Completed,25.0
UE-000055,07/05/2025 06:31 PM,Completed,96.45
UE-000056,07/05/2025 06:47 PM,Completed,102.66
UE-000057,07/05/2025 07:07 PM,Completed,25.0
UE-000058,07/05/2025 07:42 PM,Completed,25.0
UE-000059,07/05/2025 07:56 PM,Completed,50.3
UE-000060,07/05/2025 07:59 PM,Completed,105.28
UE-000061,07/05/2025 08:13 PM,Completed,106.92
UE-000062,07/05/2025 08:19 PM,Completed,51.6
UE-000063,07/05/2025 08:43 PM,Completed,54.94
UE-000064,07/05/2025 09:01 PM,Completed,42.66
UE-000065,07/05/2025 09:16 PM,Completed,86.4
UE-000066,07/05/2025 09:45 PM,Completed,63.72
UE-000067,07/06/2025 12:19 PM,Completed,25.24
UE-000068,07/06/2025 02:27 PM,Completed,110.4
UE-000069,07/06/2025 04:46 PM,Completed,89.68
UE-000070,07/06/2025 04:54 PM,Completed,25.0
UE-000071,07/06/2025 05:19 PM,Completed,77.97
UE-000072,07/06/2025 05:40 PM,Completed,31.88
UE-000073,07/06/2025 05:41 PM,Completed,158.99
UE-000074,07/06/2025 05:42 PM,Completed,94.34
UE-000075,07/06/2025 05:48 PM,Completed,25.0
UE-000076,07/06/2025 06:26 PM,Completed,37.03
UE-000077,07/06/2025 06:32 PM,Completed,25.0
UE-000078,07/06/2025 06:39 PM,Completed,33.75
UE-000079,07/06/2025 06:42 PM,Completed,41.17
UE-000080,07/06/2025 07:01 PM,Completed,122.99
UE-000081,07/06/2025 07:18 PM,Completed,76.7
UE-000082,07/06/2025 07:31 PM,Completed,25.0
UE-000083,07/06/2025 07:59 PM,Completed,33.75
UE-000084,07/06/2025 09:41 PM,Completed,44.56
UE-000085,07/07/2025 01:01 PM,Completed,38.72
UE-000086,07/07/2025 05:06 PM,Completed,49.69
UE-000087,07/07/2025 07:33 PM,Completed,84.55
UE-000088,07/07/2025 08:11 PM,Completed,98.98
UE-000089,07/07/2025 08:16 PM,Completed,140.57
UE-000090,07/07/2025 09:35 PM,Completed,94.01
UE-000091,07/07/2025 09:44 PM,Completed,36.66
UE-000092,07/08/2025 02:16 PM,Completed,27.68
UE-000093,07/08/2025 02:18 PM,Completed,28.38
UE-000094,07/08/2025 04:19 PM,Completed,25.0
UE-000095,07/08/2025 05:42 PM,Completed,45.53
UE-000096,07/08/2025 05:49 PM,Completed,63.36
UE-000097,07/08/2025 05:54 PM,Completed,85.09
UE-000098,07/08/2025 06:06 PM,Completed,69.36
UE-000099,07/08/2025 06:17 PM,Completed,50.87
UE-000100,07/08/2025 06:21 PM,Completed,120.3
UE-000101,07/08/2025 06:31 PM,Completed,150.52
UE-000102,07/08/2025 07:46 PM,Completed,25.0
UE-000103,07/08/2025 07:53 PM,Completed,91.21
UE-000104,07/08/2025 08:30 PM,Completed,126.22
UE-000105,07/08/2025 08:32 PM,Completed,34.9
UE-000106,07/08/2025 09:01 PM,Completed,37.56
UE-000107,07/09/2025 01:58 PM,Completed,90.64
UE-000108,07/09/2025 02:03 PM,Completed,137.77
UE-000109,07/09/2025 05:03 PM,Completed,26.13
UE-000110,07/09/2025 05:15 PM,Completed,46.52
UE-000111,07/09/2025 06:02 PM,Completed,35.1
UE-000112,07/09/2025 06:30 PM,Completed,31.28
UE-000113,07/09/2025 07:33 PM,Completed,146.61
UE-000114,07/09/2025 08:27 PM,Completed,88.34
UE-000115,07/09/2025 08:49 PM,Completed,95.12
UE-000116,07/09/2025 09:14 PM,Completed,55.22
UE-000117,07/09/2025 09:27 PM,Completed,38.72
UE-000118,07/10/2025 05:01 PM,Completed,95.65
UE-000119,07/10/2025 05:48 PM,Completed,143.7
UE-000120,07/10/2025 05:54 PM,Completed,100.6
UE-000121,07/10/2025 06:22 PM,Completed,81.97
UE-000122,07/10/2025 06:22 PM,Completed,92.95
UE-000123,07/10/2025 06:40 PM,Completed,25.0
UE-000124,07/10/2025 06:49 PM,Completed,210.6
UE-000125,07/10/2025 07:06 PM,Completed,121.96
UE-000126,07/10/2025 07:21 PM,Completed,76.69
UE-000127,07/10/2025 07:53 PM,Completed,434.25
UE-000128,07/10/2025 09:18 PM,Completed,25.0
UE-000129,07/11/2025 02:24 PM,Completed,26.14
UE-000130,07/11/2025 04:05 PM,Completed,38.53
UE-000131,07/11/2025 05:26 PM,Completed,148.78
UE-000132,07/11/2025 05:32 PM,Completed,160.66
UE-000133,07/11/2025 05:37 PM,Completed,80.8
UE-000134,07/11/2025 05:46 PM,Completed,121.97
UE-000135,07/11/2025 06:13 PM,Completed,27.3
UE-000136,07/11/2025 07:20 PM,Completed,25.0
UE-000137,07/11/2025 07:32 PM,Completed,84.35
UE-000138,07/11/2025 08:37 PM,Completed,142.73
UE-000139,07/12/2025 01:30 PM,Completed,40.97
UE-000140,07/12/2025 04:50 PM,Completed,112.41
UE-000141,07/12/2025 05:44 PM,Completed,45.71
UE-000142,07/12/2025 06:14 PM,Completed,25.0
UE-000143,07/12/2025 06:15 PM,Completed,92.25
UE-000144,07/12/2025 06:22 PM,Completed,77.36
UE-000145,07/12/2025 06:26 PM,Completed,33.09
UE-000146,07/12/2025 06:32 PM,Completed,124.2
UE-000147,07/12/2025 06:34 PM,Completed,25.0
UE-000148,07/12/2025 06:43 PM,Completed,83.95
UE-000149,07/12/2025 07:01 PM,Completed,25.0
UE-000150,07/12/2025 08:12 PM,Completed,33.28
UE-000151,07/12/2025 08:26 PM,Completed,26.59
UE-000152,07/12/2025 08:43 PM,Completed,41.49
UE-000153,07/12/2025 08:43 PM,Completed,71.12
UE-000154,07/12/2025 08:56 PM,Completed,37.02
UE-000155,07/12/2025 09:49 PM,Completed,40.8
UE-000156,07/13/2025 05:06 PM,Completed,82.6
UE-000157,07/13/2025 05:19 PM,Completed,115.53
UE-000158,07/13/2025 05:32 PM,Completed,120.21
UE-000159,07/13/2025 06:08 PM,Completed,25.0
UE-000160,07/13/2025 09:51 PM,Completed,68.17
UE-000161,07/14/2025 11:55 AM,Completed,84.22
UE-000162,07/14/2025 03:33 PM,Completed,96.32
UE-000163,07/14/2025 03:45 PM,Completed,133.08
UE-000164,07/14/2025 05:41 PM,Completed,31.1
UE-000165,07/14/2025 06:18 PM,Completed,137.37
UE-000166,07/14/2025 06:20 PM,Completed,78.45
UE-000167,07/14/2025 06:39 PM,Completed,37.58
UE-000168,07/14/2025 07:09 PM,Completed,25.0
UE-000169,07/14/2025 08:27 PM,Completed,25.0
UE-000170,07/14/2025 08:37 PM,Completed,138.07
UE-000171,07/14/2025 09:12 PM,Completed,93.47
UE-000172,07/15/2025 04:19 PM,Completed,108.9
UE-000173,07/15/2025 04:39 PM,Completed,30.75
UE-000174,07/15/2025 04:45 PM,Completed,95.54
UE-000175,07/15/2025 05:07 PM,Completed,30.27
UE-000176,07/15/2025 05:16 PM,Completed,117.92
UE-000177,07/15/2025 05:55 PM,Completed,32.56
UE-000178,07/15/2025 05:56 PM,Completed,35.25
