Order ID,Timestamp Local Date,Order Status,Subtotal
DD-000000,2025-07-01 18:14:00,Delivered,64.12
DD-000001,2025-07-01 12:50:00,Delivered,48.43
DD-000002,2025-07-01 13:42:00,Delivered,57.1
DD-000003,2025-07-01 17:29:00,Delivered,26.32
DD-000004,2025-07-01 12:31:00,Delivered,59.3
DD-000005,2025-07-01 20:57:00,Delivered,86.34
DD-000006,2025-07-01 20:08:00,Delivered,33.2
DD-000007,2025-07-01 19:54:00,Delivered,53.32
DD-000008,2025-07-01 20:31:00,Delivered,28.56
DD-000009,2025-07-01 21:17:00,Delivered,34.11
DD-000010,2025-07-01 18:43:00,Delivered,53.72
DD-000011,2025-07-01 12:03:00,Delivered,35.28
DD-000012,2025-07-01 19:55:00,Delivered,57.02
DD-000013,2025-07-01 13:26:00,Delivered,29.6
DD-000014,2025-07-01 20:15:00,Delivered,59.55
DD-000015,2025-07-01 13:33:00,Delivered,62.81
DD-000016,2025-07-01 18:13:00,Delivered,32.01
DD-000017,2025-07-01 20:18:00,Delivered,43.92
DD-000018,2025-07-01 18:14:00,Delivered,60.69
DD-000019,2025-07-01 19:35:00,Delivered,55.07
DD-000020,2025-07-01 19:40:00,Delivered,44.77
DD-000021,2025-07-02 13:23:00,Delivered,28.69
DD-000022,2025-07-02 19:38:00,Delivered,28.21
DD-000023,2025-07-02 20:45:00,Delivered,24.94
DD-000024,2025-07-02 13:22:00,Delivered,38.8
DD-000025,2025-07-02 13:21:00,Delivered,22.1
DD-000026,2025-07-02 12:09:00,Delivered,38.85
DD-000027,2025-07-02 19:54:00,Delivered,36.84
DD-000028,2025-07-02 19:56:00,Delivered,40.35
DD-000029,2025-07-02 21:17:00,Delivered,42.03
DD-000030,2025-07-02 11:57:00,Delivered,49.09
DD-000031,2025-07-02 12:02:00,Delivered,27.8
DD-000032,2025-07-02 20:28:00,Delivered,22.12
DD-000033,2025-07-02 19:33:00,Delivered,82.44
DD-000034,2025-07-02 11:34:00,Delivered,39.91
DD-000035,2025-07-02 17:38:00,Delivered,40.61
DD-000036,2025-07-03 20:19:00,Delivered,42.79
DD-000037,2025-07-03 11:35:00,Delivered,24.47
DD-000038,2025-07-03 21:03:00,Delivered,40.48
DD-000039,2025-07-03 20:55:00,Delivered,31.99
DD-000040,2025-07-03 12:30:00,Delivered,21.49
DD-000041,2025-07-03 19:52:00,Delivered,34.08
DD-000042,2025-07-03 12:17:00,Delivered,28.8
DD-000043,2025-07-03 19:27:00,Delivered,49.38
DD-000044,2025-07-03 12:01:00,Delivered,58.43
DD-000045,2025-07-03 17:03:00,Delivered,32.86
DD-000046,2025-07-03 17:53:00,Delivered,48.8
DD-000047,2025-07-03 12:05:00,Delivered,77.86
DD-000048,2025-07-03 19:54:00,Delivered,57.81
DD-000049,2025-07-03 11:42:00,Delivered,40.65
DD-000050,2025-07-03 13:00:00,Delivered,21.75
DD-000051,2025-07-03 20:04:00,Delivered,24.81
DD-000052,2025-07-03 21:56:00,Delivered,75.58
DD-000053,2025-07-03 11:56:00,Delivered,45.52
DD-000054,2025-07-03 11:27:00,Delivered,52.25
DD-000055,2025-07-04 13:21:00,Delivered,39.97
DD-000056,2025-07-04 13:47:00,Delivered,28.41
DD-000057,2025-07-04 13:43:00,Delivered,46.34
DD-000058,2025-07-04 19:01:00,Delivered,35.0
DD-000059,2025-07-04 13:05:00,Delivered,38.4
DD-000060,2025-07-04 13:37:00,Delivered,35.49
DD-000061,2025-07-04 19:34:00,Delivered,65.49
DD-000062,2025-07-04 12:41:00,Delivered,38.66
DD-000063,2025-07-04 18:59:00,Delivered,45.8
DD-000064,2025-07-04 19:42:00,Delivered,39.71
DD-000065,2025-07-04 13:20:00,Delivered,22.51
DD-000066,2025-07-04 12:14:00,Delivered,38.45
DD-000067,2025-07-04 17:32:00,Delivered,51.0
DD-000068,2025-07-04 19:11:00,Delivered,37.78
DD-000069,2025-07-04 12:39:00,Delivered,29.02
DD-000070,2025-07-04 17:18:00,Delivered,49.69
DD-000071,2025-07-04 18:46:00,Delivered,67.67
DD-000072,2025-07-04 17:33:00,Delivered,73.84
DD-000073,2025-07-04 19:20:00,Delivered,68.89
DD-000074,2025-07-04 13:16:00,Delivered,35.14
DD-000075,2025-07-04 13:04:00,Delivered,58.96
DD-000076,2025-07-04 21:48:00,Delivered,39.9
DD-000077,2025-07-04 20:26:00,Delivered,73.03
DD-000078,2025-07-04 20:04:00,Delivered,44.26
DD-000079,2025-07-04 20:27:00,Delivered,48.78
DD-000080,2025-07-05 18:17:00,Delivered,42.86
DD-000081,2025-07-05 20:39:00,Delivered,17.93
DD-000082,2025-07-05 19:05:00,Delivered,86.55
DD-000083,2025-07-05 17:50:00,Delivered,42.8
DD-000084,2025-07-05 12:30:00,Delivered,32.25
DD-000085,2025-07-05 19:19:00,Delivered,40.27
DD-000086,2025-07-05 19:25:00,Delivered,31.71
DD-000087,2025-07-05 11:02:00,Delivered,36.68
DD-000088,2025-07-05 11:36:00,Delivered,50.57
DD-000089,2025-07-05 12:08:00,Delivered,40.27
DD-000090,2025-07-05 19:29:00,Delivered,23.49
DD-000091,2025-07-05 13:37:00,Delivered,30.41
DD-000092,2025-07-05 19:04:00,Delivered,40.48
DD-000093,2025-07-05 11:35:00,Delivered,25.13
DD-000094,2025-07-05 13:58:00,Delivered,37.03
DD-000095,2025-07-05 11:45:00,Delivered,32.91
DD-000096,2025-07-05 20:21:00,Delivered,31.33
DD-000097,2025-07-05 19:17:00,Delivered,36.54
DD-000098,2025-07-06 12:06:00,Delivered,33.45
DD-000099,2025-07-06 17:41:00,Delivered,67.31
DD-000100,2025-07-06 17:19:00,Delivered,51.49
DD-000101,2025-07-06 12:09:00,Delivered,41.05
DD-000102,2025-07-06 18:11:00,Delivered,40.63
DD-000103,2025-07-06 19:55:00,Delivered,39.55
DD-000104,2025-07-06 20:38:00,Delivered,31.73
DD-000105,2025-07-06 18:14:00,Delivered,33.25
DD-000106,2025-07-06 18:49:00,Delivered,48.35
DD-000107,2025-07-06 21:25:00,Delivered,38.53
