Order ID,Time Customer Ordered,Order Status,Food Sales
UE-000000,07/01/2025 08:05 PM,Completed,43.34
UE-000001,07/01/2025 12:41 PM,Completed,30.11
UE-000002,07/01/2025 08:46 PM,Completed,62.21
UE-000003,07/01/2025 01:38 PM,Completed,47.35
UE-000004,07/01/2025 08:16 PM,Completed,38.59
UE-000005,07/01/2025 09:37 PM,Completed,39.03
UE-000006,07/01/2025 12:21 PM,Completed,47.3
UE-000007,07/01/2025 07:28 PM,Completed,34.17
UE-000008,07/01/2025 06:47 PM,Completed,39.62
UE-000009,07/01/2025 01:11 PM,Completed,52.47
UE-000010,07/01/2025 08:37 PM,Completed,50.47
UE-000011,07/01/2025 08:42 PM,Completed,43.16
UE-000012,07/01/2025 07:38 PM,Completed,53.01
UE-000013,07/01/2025 07:08 PM,Completed,52.11
UE-000014,07/01/2025 07:33 PM,Completed,32.59
UE-000015,07/01/2025 12:27 PM,Completed,29.97
UE-000016,07/01/2025 06:04 PM,Completed,43.9
UE-000017,07/01/2025 06:45 PM,Completed,55.24
UE-000018,07/01/2025 05:58 PM,Completed,38.5
UE-000019,07/01/2025 01:12 PM,Completed,29.38
UE-000020,07/01/2025 01:26 PM,Completed,35.26
UE-000021,07/01/2025 07:39 PM,Completed,36.85
UE-000022,07/01/2025 12:20 PM,Completed,35.87
UE-000023,07/01/2025 06:01 PM,Completed,34.71
UE-000024,07/01/2025 12:29 PM,Completed,52.75
UE-000025,07/02/2025 05:41 PM,Completed,24.28
UE-000026,07/02/2025 09:21 PM,Completed,29.53
UE-000027,07/02/2025 09:54 PM,Completed,36.21
UE-000028,07/02/2025 06:44 PM,Completed,29.05
UE-000029,07/02/2025 06:16 PM,Completed,22.03
UE-000030,07/02/2025 06:32 PM,Completed,24.29
UE-000031,07/02/2025 07:10 PM,Completed,45.04
UE-000032,07/02/2025 06:05 PM,Completed,28.28
UE-000033,07/02/2025 11:38 AM,Completed,67.47
UE-000034,07/02/2025 12:40 PM,Completed,26.63
UE-000035,07/02/2025 08:06 PM,Completed,35.76
UE-000036,07/02/2025 06:17 PM,Completed,24.08
UE-000037,07/02/2025 07:01 PM,Completed,56.14
UE-000038,07/02/2025 06:26 PM,Completed,28.64
UE-000039,07/02/2025 01:56 PM,Completed,30.56
UE-000040,07/02/2025 05:17 PM,Completed,60.88
UE-000041,07/02/2025 12:01 PM,Completed,28.16
UE-000042,07/02/2025 07:07 PM,Completed,45.85
UE-000043,07/03/2025 08:16 PM,Completed,26.67
UE-000044,07/03/2025 06:32 PM,Completed,30.46
